gap,seq_num,hidden_size,num_layer,ACC,train_size,val_size
10,150,256,1,82.71367521367522,4683,9360
10,150,256,2,82.9594017094017,4683,9360
10,150,256,3,82.59615384615384,4683,9360
15,150,32,1,82.41452991452991,3125,9360
15,150,32,2,82.07264957264957,3125,9360
15,150,32,3,82.42521367521367,3125,9360
15,150,64,1,82.46794871794872,3125,9360
15,150,64,2,82.28632478632478,3125,9360
15,150,64,3,82.0405982905983,3125,9360
15,150,128,1,81.32478632478633,3125,9360
15,150,128,2,82.51068376068376,3125,9360
15,150,128,3,82.52136752136752,3125,9360
15,150,256,1,82.6068376068376,3125,9360
15,150,256,2,82.40384615384616,3125,9360
15,150,256,3,82.09401709401709,3125,9360
3,200,32,1,82.74697745343644,15292,9181
3,200,32,2,82.40932360309334,15292,9181
3,200,32,3,82.48556802091275,15292,9181
3,200,64,1,83.91242784010457,15292,9181
3,200,64,2,81.39636205206405,15292,9181
3,200,64,3,83.10641542315652,15292,9181
3,200,128,1,82.13702211088116,15292,9181
3,200,128,2,82.34397124496242,15292,9181
3,200,128,3,83.31336455723778,15292,9181
3,200,256,1,82.30040300620847,15292,9181
3,200,256,2,82.64894891624006,15292,9181
3,200,256,3,83.01927894564862,15292,9181
5,200,32,1,82.28951094651998,9177,9181
5,200,32,2,82.38753948371637,9177,9181
5,200,32,3,81.95185709617688,9177,9181
5,200,64,1,82.48556802091275,9177,9181
5,200,64,2,82.50735214028973,9177,9181
5,200,64,3,82.22415858838906,9177,9181
5,200,128,1,83.24801219910685,9177,9181
5,200,128,2,82.62716479686308,9177,9181
5,200,128,3,82.99749482627165,9177,9181
5,200,256,1,82.56181243873216,9177,9181
5,200,256,2,82.26772682714301,9177,9181
5,200,256,3,83.45496133318811,9177,9181
10,200,32,1,83.81439930290819,4594,9181
10,200,32,2,83.31336455723778,4594,9181
10,200,32,3,82.73608539374796,4594,9181
10,200,64,1,82.65984097592855,4594,9181
10,200,64,2,82.54002831935519,4594,9181
10,200,64,3,82.80143775187888,4594,9181
10,200,128,1,83.30247249754929,4594,9181
10,200,128,2,82.4419997821588,4594,9181
10,200,128,3,82.94303452782921,4594,9181
10,200,256,1,83.43317721381113,4594,9181
10,200,256,2,82.89946628907526,4594,9181
10,200,256,3,82.82322187125585,4594,9181
15,200,32,1,81.97364121555385,3065,9181
15,200,32,2,81.57063500707984,3065,9181
15,200,32,3,82.98660276658316,3065,9181
15,200,64,1,81.99542533493083,3065,9181
15,200,64,2,81.65777148458774,3065,9181
15,200,64,3,82.7034092146825,3065,9181
15,200,128,1,82.82322187125585,3065,9181
15,200,128,2,82.47467596122426,3065,9181
15,200,128,3,82.9539265875177,3065,9181
15,200,256,1,82.76876157281342,3065,9181
15,200,256,2,82.92125040845224,3065,9181
15,200,256,3,82.15880623025814,3065,9181
1,30,32,1,86.27964274715121,65399,6494
1,30,32,2,86.27964274715121,65399,6494
1,30,32,3,86.40283338466277,65399,6494
1,30,64,1,86.01786264243917,65399,6494
1,30,64,2,86.38743455497382,65399,6494
1,30,64,3,86.8032029565753,65399,6494
1,30,128,1,86.1718509393286,65399,6494
1,30,128,2,86.24884508777333,65399,6494
1,30,128,3,86.15645210963967,65399,6494
1,30,256,1,85.75608253772714,65399,6494
1,30,256,2,85.97166615337234,65399,6494
1,30,256,3,86.60301817061904,65399,6494
1,50,32,1,88.02553721582062,65039,6422
1,50,32,2,87.85425101214575,65039,6422
1,50,32,3,87.776393646839,65039,6422
1,50,64,1,88.66396761133603,65039,6422
1,50,64,2,88.2902522578636,65039,6422
1,50,64,3,87.96325132357521,65039,6422
1,50,128,1,88.61725319215198,65039,6422
1,50,128,2,88.11896605418873,65039,6422
1,50,128,3,88.77296792276549,65039,6422
1,50,256,1,86.79539084397383,65039,6422
1,50,256,2,87.96325132357521,65039,6422
1,50,256,3,88.16568047337279,65039,6422
1,80,32,1,86.17358251504594,64499,6314
1,80,32,2,86.52201457079506,64499,6314
1,80,32,3,88.94520114032309,64499,6314
1,80,64,1,86.71206841938549,64499,6314
1,80,64,2,86.72790624010136,64499,6314
1,80,64,3,87.8048780487805,64499,6314
1,80,128,1,88.21666138739309,64499,6314
1,80,128,2,86.80709534368071,64499,6314
1,80,128,3,86.22109597719354,64499,6314
1,80,256,1,86.90212226797593,64499,6314
1,80,256,2,84.4789356984479,64499,6314
1,80,256,3,89.13525498891353,64499,6314
1,100,32,1,85.98205703300225,64139,6242
1,100,32,2,86.43063120794618,64139,6242
1,100,32,3,87.08747196411407,64139,6242
1,100,64,1,86.2544056392182,64139,6242
1,100,64,2,87.53604613905799,64139,6242
1,100,64,3,82.93816084588273,64139,6242
1,100,128,1,87.35982057033003,64139,6242
1,100,128,2,86.09420057673823,64139,6242
1,100,128,3,83.37071451457867,64139,6242
1,100,256,1,86.47869272669017,64139,6242
1,100,256,2,86.71900032041013,64139,6242
1,100,256,3,87.71227170778596,64139,6242
1,150,32,1,86.8611935377514,63239,6066
1,150,32,2,83.6630398944939,63239,6066
1,150,32,3,84.55324760962743,63239,6066
1,150,64,1,86.81173755357732,63239,6066
1,150,64,2,86.00395647873393,63239,6066
1,150,64,3,86.79525222551929,63239,6066
1,150,128,1,84.04220243982856,63239,6066
1,150,128,2,83.86086383119024,63239,6066
1,150,128,3,84.20705572040883,63239,6066
1,150,256,1,84.70161556214968,63239,6066
1,150,256,2,86.46554566435871,63239,6066
1,150,256,3,85.60830860534125,63239,6066
1,200,32,1,83.90434192672998,62339,5896
1,200,32,2,85.36295793758481,62339,5896
1,200,32,3,84.59972862957937,62339,5896
1,200,64,1,87.68656716417911,62339,5896
1,200,64,2,83.0223880597015,62339,5896
1,200,64,3,83.53120759837178,62339,5896
1,200,128,1,83.46336499321573,62339,5896
1,200,128,2,85.60040705563094,62339,5896
1,200,128,3,87.24559023066486,62339,5896
1,200,256,1,86.4314789687924,62339,5896
1,200,256,2,85.78697421981003,62339,5896
1,200,256,3,86.9572591587517,62339,5896
