gap,seq_num,hidden_size,num_layer,ACC,train_size_localization,train_size_detection
10,300,64,1,95.71045576407506,1492,8071
10,300,64,2,96.24664879356568,1492,8071
10,300,64,3,95.84450402144772,1492,8071
10,300,128,1,96.24664879356568,1492,8071
10,300,128,2,95.64343163538874,1492,8071
10,300,128,3,94.90616621983914,1492,8071
10,300,256,1,96.31367292225201,1492,8071
10,300,256,2,96.17962466487936,1492,8071
10,300,256,3,95.37533512064343,1492,8071
10,300,512,1,96.64879356568365,1492,8071
10,300,512,2,96.31367292225201,1492,8071
10,300,512,3,94.57104557640751,1492,8071
10,300,1024,1,95.84450402144772,1492,8071
10,300,1024,2,95.84450402144772,1492,8071
10,300,1024,3,95.57640750670241,1492,8071
