seq_num,d_model,n_head,num_layer,dropout,learning_rate,weight_decay,ACC
100,512,4,8,0.3,0.0001,0.0001,89.3463633450817
100,512,8,1,0.3,0.0001,0.0001,88.99391220762575
100,512,8,4,0.3,0.0001,0.0001,87.93655879525792
100,512,8,8,0.3,0.0001,0.0001,89.20217878884972
200,64,1,1,0.3,0.0001,0.0001,87.07598371777476
200,64,1,4,0.3,0.0001,0.0001,88.11058344640435
200,64,1,8,0.3,0.0001,0.0001,88.72116689280868
200,64,4,1,0.3,0.0001,0.0001,85.719131614654
200,64,4,4,0.3,0.0001,0.0001,87.36431478968792
200,64,4,8,0.3,0.0001,0.0001,88.87381275440977
200,64,8,1,0.3,0.0001,0.0001,84.73541383989145
200,64,8,4,0.3,0.0001,0.0001,87.19470827679783
200,64,8,8,0.3,0.0001,0.0001,86.7876526458616
200,128,1,1,0.3,0.0001,0.0001,86.58412483039349
200,128,1,4,0.3,0.0001,0.0001,88.36499321573949
200,128,1,8,0.3,0.0001,0.0001,88.48371777476255
200,128,4,1,0.3,0.0001,0.0001,86.21099050203527
200,128,4,4,0.3,0.0001,0.0001,87.82225237449119
200,128,4,8,0.3,0.0001,0.0001,87.92401628222524
200,128,8,1,0.3,0.0001,0.0001,86.34667571234735
200,128,8,4,0.3,0.0001,0.0001,88.77204884667572
200,128,8,8,0.3,0.0001,0.0001,87.5
200,256,1,1,0.3,0.0001,0.0001,86.73677069199458
200,256,1,4,0.3,0.0001,0.0001,88.68724559023066
200,256,1,8,0.3,0.0001,0.0001,87.24559023066486
200,256,4,1,0.3,0.0001,0.0001,87.99185888738127
200,256,4,4,0.3,0.0001,0.0001,86.65196743554952
200,256,4,8,0.3,0.0001,0.0001,88.5854816824966
200,256,8,1,0.3,0.0001,0.0001,87.34735413839891
200,256,8,4,0.3,0.0001,0.0001,86.85549525101764
200,256,8,8,0.3,0.0001,0.0001,88.94165535956581
200,512,1,1,0.3,0.0001,0.0001,88.28018995929443
200,512,1,4,0.3,0.0001,0.0001,88.5854816824966
200,512,1,8,0.3,0.0001,0.0001,87.94097693351425
200,512,4,1,0.3,0.0001,0.0001,87.70352781546812
200,512,4,4,0.3,0.0001,0.0001,88.05970149253731
200,512,4,8,0.3,0.0001,0.0001,87.89009497964722
200,512,8,1,0.3,0.0001,0.0001,87.38127544097694
200,512,8,4,0.3,0.0001,0.0001,88.44979647218453
200,512,8,8,0.3,0.0001,0.0001,89.14518317503392
300,64,1,1,0.3,0.0001,0.0001,87.38300935925126
300,64,1,4,0.3,0.0001,0.0001,88.40892728581713
300,64,1,8,0.3,0.0001,0.0001,88.40892728581713
300,64,4,1,0.3,0.0001,0.0001,86.1231101511879
300,64,4,4,0.3,0.0001,0.0001,89.27285817134629
300,64,4,8,0.3,0.0001,0.0001,88.17494600431965
300,64,8,1,0.3,0.0001,0.0001,88.62491000719942
300,64,8,4,0.3,0.0001,0.0001,87.2930165586753
300,64,8,8,0.3,0.0001,0.0001,88.75089992800577
300,128,1,1,0.3,0.0001,0.0001,87.36501079913607
300,128,1,4,0.3,0.0001,0.0001,88.31893448524119
300,128,1,8,0.3,0.0001,0.0001,88.2649388048956
300,128,4,1,0.3,0.0001,0.0001,87.74298056155507
300,128,4,4,0.3,0.0001,0.0001,89.20086393088553
300,128,4,8,0.3,0.0001,0.0001,89.39884809215263
300,128,8,1,0.3,0.0001,0.0001,88.39092872570194
300,128,8,4,0.3,0.0001,0.0001,86.80705543556516
300,128,8,8,0.3,0.0001,0.0001,89.02087832973362
300,256,1,1,0.3,0.0001,0.0001,87.74298056155507
300,256,1,4,0.3,0.0001,0.0001,87.74298056155507
300,256,1,8,0.3,0.0001,0.0001,87.47300215982722
300,256,4,1,0.3,0.0001,0.0001,88.03095752339813
300,256,4,4,0.3,0.0001,0.0001,86.9330453563715
300,256,4,8,0.3,0.0001,0.0001,85.51115910727142
300,256,8,1,0.3,0.0001,0.0001,88.0669546436285
300,256,8,4,0.3,0.0001,0.0001,88.17494600431965
300,256,8,8,0.3,0.0001,0.0001,89.09287257019439
300,512,1,1,0.3,0.0001,0.0001,87.20302375809935
300,512,1,4,0.3,0.0001,0.0001,87.83297336213103
300,512,1,8,0.3,0.0001,0.0001,87.63498920086393
300,512,4,1,0.3,0.0001,0.0001,87.27501799856012
300,512,4,4,0.3,0.0001,0.0001,87.34701223902088
300,512,4,8,0.3,0.0001,0.0001,87.05903527717783
300,512,8,1,0.3,0.0001,0.0001,87.81497480201584
300,512,8,4,0.3,0.0001,0.0001,87.6889848812095
300,512,8,8,0.3,0.0001,0.0001,88.80489560835133
