gap,seq_num,hidden_size,num_layer,ACC,train_size_localization,train_size_detection
5,50,256,2,69.01579586877278,2469,19605
5,50,256,3,70.02835155933576,2469,19605
5,50,512,1,66.82867557715674,2469,19605
5,50,512,2,68.85378695828271,2469,19605
5,50,512,3,70.9599027946537,2469,19605
5,50,1024,1,69.21830700688538,2469,19605
5,50,1024,2,68.32725799918995,2469,19605
5,50,1024,3,71.00040502227623,2469,19605
5,80,32,1,74.07857432158768,2469,19497
5,80,32,2,77.6832725799919,2469,19497
5,80,32,3,78.97934386391252,2469,19497
5,80,64,1,77.11624139327662,2469,19497
5,80,64,2,77.23774807614419,2469,19497
5,80,64,3,79.34386391251519,2469,19497
5,80,128,1,78.49331713244229,2469,19497
5,80,128,2,79.14135277440259,2469,19497
5,80,128,3,78.97934386391252,2469,19497
5,80,256,1,78.12879708383961,2469,19497
5,80,256,2,78.41231267719725,2469,19497
5,80,256,3,79.46537059538275,2469,19497
5,80,512,1,76.91373025516404,2469,19497
5,80,512,2,78.85783718104496,2469,19497
5,80,512,3,79.34386391251519,2469,19497
5,80,1024,1,77.84528149048198,2469,19497
5,80,1024,2,77.88578371810449,2469,19497
5,80,1024,3,77.72377480761442,2469,19497
5,100,32,1,83.151073309032,2469,19425
5,100,32,2,85.01417577966788,2469,19425
5,100,32,3,84.4066423653301,2469,19425
5,100,64,1,84.69015795868773,2469,19425
5,100,64,2,83.51559335763467,2469,19425
5,100,64,3,84.44714459295261,2469,19425
5,100,128,1,83.92061563385987,2469,19425
5,100,128,2,83.51559335763467,2469,19425
5,100,128,3,84.85216686917781,2469,19425
5,100,256,1,85.45970028351559,2469,19425
5,100,256,2,83.92061563385987,2469,19425
5,100,256,3,85.0546780072904,2469,19425
5,100,512,1,85.0546780072904,2469,19425
5,100,512,2,85.54070473876064,2469,19425
5,100,512,3,85.66221142162819,2469,19425
5,100,1024,1,85.13568246253544,2469,19425
5,100,1024,2,86.22924260834345,2469,19425
5,100,1024,3,85.74321587687322,2469,19425
5,150,32,1,92.14256784123127,2469,19245
5,150,32,2,92.95261239368165,2469,19245
5,150,32,3,92.58809234507898,2469,19245
5,150,64,1,92.79060348319157,2469,19245
5,150,64,2,92.8311057108141,2469,19245
5,150,64,3,92.4260834345889,2469,19245
5,150,128,1,92.79060348319157,2469,19245
5,150,128,2,93.23612798703928,2469,19245
5,150,128,3,93.31713244228433,2469,19245
5,150,256,1,93.07411907654921,2469,19245
5,150,256,2,93.8841636289996,2469,19245
5,150,256,3,94.04617253948967,2469,19245
5,150,512,1,92.54759011745647,2469,19245
5,150,512,2,93.35763466990684,2469,19245
5,150,512,3,91.9805589307412,2469,19245
5,150,1024,1,92.66909680032401,2469,19245
5,150,1024,2,93.07411907654921,2469,19245
5,150,1024,3,92.50708788983394,2469,19245
5,200,32,1,95.09923045767518,2469,19065
5,200,32,2,95.58525718914541,2469,19065
5,200,32,3,95.74726609963548,2469,19065
5,200,64,1,96.31429728635075,2469,19065
5,200,64,2,96.23329283110571,2469,19065
5,200,64,3,96.27379505872823,2469,19065
5,200,128,1,95.99027946537059,2469,19065
5,200,128,2,96.11178614823815,2469,19065
5,200,128,3,96.35479951397326,2469,19065
5,200,256,1,95.74726609963548,2469,19065
5,200,256,2,96.47630619684082,2469,19065
5,200,256,3,96.15228837586068,2469,19065
5,200,512,1,96.27379505872823,2469,19065
5,200,512,2,95.74726609963548,2469,19065
5,200,512,3,96.03078169299312,2469,19065
5,200,1024,1,95.787768327258,2469,19065
5,200,1024,2,96.27379505872823,2469,19065
5,200,1024,3,96.71931956257595,2469,19065
5,250,32,1,97.36735520453625,2469,18885
5,250,32,2,97.28635074929122,2469,18885
5,250,32,3,97.36735520453625,2469,18885
5,250,64,1,97.44835965978129,2469,18885
5,250,64,2,96.96233292831106,2469,18885
5,250,64,3,97.65087079789389,2469,18885
5,250,128,1,97.00283515593358,2469,18885
5,250,128,2,97.56986634264885,2469,18885
5,250,128,3,96.96233292831106,2469,18885
5,250,256,1,97.36735520453625,2469,18885
5,250,256,2,97.52936411502633,2469,18885
5,250,256,3,97.32685297691373,2469,18885
5,250,512,1,97.52936411502633,2469,18885
5,250,512,2,97.28635074929122,2469,18885
5,250,512,3,97.4888618874038,2469,18885
5,250,1024,1,97.65087079789389,2469,18885
5,250,1024,2,97.81287970838396,2469,18885
5,250,1024,3,97.4888618874038,2469,18885
5,300,32,1,97.32685297691373,2469,18705
5,300,32,2,97.32685297691373,2469,18705
5,300,32,3,97.65087079789389,2469,18705
5,300,64,1,97.56986634264885,2469,18705
5,300,64,2,97.56986634264885,2469,18705
5,300,64,3,97.61036857027136,2469,18705
5,300,128,1,97.40785743215876,2469,18705
5,300,128,2,98.01539084649656,2469,18705
5,300,128,3,97.6913730255164,2469,18705
5,300,256,1,97.73187525313892,2469,18705
5,300,256,2,97.65087079789389,2469,18705
5,300,256,3,97.56986634264885,2469,18705
5,300,512,1,97.52936411502633,2469,18705
5,300,512,2,97.85338193600649,2469,18705
5,300,512,3,97.61036857027136,2469,18705
