gap,seq_num,hidden_size,num_layer,ACC,train_size,val_size
3,50,256,3,85.26848798869524,14143,8492
5,50,32,1,85.62176165803109,8491,8492
5,50,32,2,86.42251530852567,8491,8492
5,50,32,3,85.55110692416392,8491,8492
5,50,64,1,85.6453132359868,8491,8492
5,50,64,2,86.01036269430051,8491,8492
5,50,64,3,86.06924163918983,8491,8492
5,50,128,1,85.92793217145548,8491,8492
5,50,128,2,85.11540273198304,8491,8492
5,50,128,3,85.51577955723033,8491,8492
5,50,256,1,85.85727743758832,8491,8492
5,50,256,2,85.82195007065474,8491,8492
5,50,256,3,85.78662270372115,8491,8492
10,50,32,1,85.50400376825247,4251,8492
10,50,32,2,85.5864342910975,4251,8492
10,50,32,3,85.49222797927462,4251,8492
10,50,64,1,85.49222797927462,4251,8492
10,50,64,2,85.91615638247762,4251,8492
10,50,64,3,85.10362694300518,4251,8492
10,50,128,1,85.2213848327838,4251,8492
10,50,128,2,85.44512482336316,4251,8492
10,50,128,3,85.18605746585021,4251,8492
10,50,256,1,85.20960904380594,4251,8492
10,50,256,2,84.6679227508243,4251,8492
10,50,256,3,85.92793217145548,4251,8492
15,50,32,1,84.79745642958078,2836,8492
15,50,32,2,85.20960904380594,2836,8492
15,50,32,3,85.05652378709374,2836,8492
15,50,64,1,85.69241639189826,2836,8492
15,50,64,2,85.2802637776731,2836,8492
15,50,64,3,85.17428167687235,2836,8492
15,50,128,1,84.69147432878003,2836,8492
15,50,128,2,84.5148374941121,2836,8492
15,50,128,3,84.70325011775789,2836,8492
15,50,256,1,84.609043805935,2836,8492
15,50,256,2,85.03297220913801,2836,8492
15,50,256,3,84.25577013659915,2836,8492
3,80,32,1,86.62443222567535,13933,8366
3,80,32,2,86.24193162801816,13933,8366
3,80,32,3,86.73201051876643,13933,8366
3,80,64,1,86.52880707626106,13933,8366
3,80,64,2,85.66818073153239,13933,8366
3,80,64,3,86.76786994979679,13933,8366
3,80,128,1,87.06669854171648,13933,8366
3,80,128,2,86.12240019125029,13933,8366
3,80,128,3,86.68419794405929,13933,8366
3,80,256,1,86.62443222567535,13933,8366
3,80,256,2,86.50490078890748,13933,8366
3,80,256,3,87.317714558929,13933,8366
5,80,32,1,86.76786994979679,8365,8366
5,80,32,2,86.12240019125029,8365,8366
5,80,32,3,87.19818312216113,8365,8366
5,80,64,1,86.72005737508965,8365,8366
5,80,64,2,85.77575902462348,8365,8366
5,80,64,3,86.22997848434139,8365,8366
5,80,128,1,86.30169734640211,8365,8366
5,80,128,2,86.4929476452307,8365,8366
5,80,128,3,86.17021276595744,8365,8366
5,80,256,1,85.89529046139134,8365,8366
5,80,256,2,86.11044704757352,8365,8366
5,80,256,3,86.68419794405929,8365,8366
10,80,32,1,86.79177623715037,4188,8366
10,80,32,2,87.09060482907005,4188,8366
10,80,32,3,86.56466650729142,4188,8366
10,80,64,1,85.90724360506813,4188,8366
10,80,64,2,86.81568252450394,4188,8366
10,80,64,3,87.07865168539325,4188,8366
10,80,128,1,87.26990198422185,4188,8366
10,80,128,2,85.83552474300741,4188,8366
10,80,128,3,87.16232369113077,4188,8366
10,80,256,1,86.19411905331103,4188,8366
10,80,256,2,86.58857279464499,4188,8366
10,80,256,3,86.8634950992111,4188,8366
15,80,32,1,85.14224240975376,2794,8366
15,80,32,2,86.42122878316998,2794,8366
15,80,32,3,86.97107339230217,2794,8366
15,80,64,1,86.32560363375568,2794,8366
15,80,64,2,86.31365049007889,2794,8366
15,80,64,3,86.52880707626106,2794,8366
15,80,128,1,86.08654076021993,2794,8366
15,80,128,2,86.32560363375568,2794,8366
15,80,128,3,87.317714558929,2794,8366
15,80,256,1,86.43318192684676,2794,8366
15,80,256,2,85.62036815682525,2794,8366
15,80,256,3,86.88740138656466,2794,8366
3,100,32,1,87.30982854383,13792,8282
3,100,32,2,88.23955566288336,13792,8282
3,100,32,3,87.27360540932142,13792,8282
3,100,64,1,88.5051919826129,13792,8282
3,100,64,2,88.03429123400144,13792,8282
3,100,64,3,87.26153103115189,13792,8282
3,100,128,1,87.44264670369476,13792,8282
3,100,128,2,86.46462207196329,13792,8282
3,100,128,3,87.79280367061097,13792,8282
3,100,256,1,87.56339048539,13792,8282
3,100,256,2,88.66215889881671,13792,8282
3,100,256,3,87.32190292199952,13792,8282
5,100,32,1,87.49094421637285,8281,8282
5,100,32,2,87.7082830234243,8281,8282
5,100,32,3,86.7181840135233,8281,8282
5,100,64,1,87.90147307413669,8281,8282
5,100,64,2,87.43057232552523,8281,8282
5,100,64,3,86.40425018111567,8281,8282
5,100,128,1,87.59961361989858,8281,8282
5,100,128,2,87.33397730016904,8281,8282
5,100,128,3,86.98382033325284,8281,8282
5,100,256,1,87.30982854383,8281,8282
5,100,256,2,88.0101424776624,8281,8282
5,100,256,3,87.57546486355953,8281,8282
10,100,32,1,87.34605167833857,4146,8282
10,100,32,2,88.3602994445786,4146,8282
10,100,32,3,86.7181840135233,4146,8282
10,100,64,1,87.52716735088143,4146,8282
10,100,64,2,87.53924172905096,4146,8282
10,100,64,3,87.90147307413669,4146,8282
10,100,128,1,87.2132335184738,4146,8282
10,100,128,2,87.99806809949288,4146,8282
10,100,128,3,86.56121709731948,4146,8282
10,100,256,1,87.84110118328906,4146,8282
10,100,256,2,87.97391934315382,4146,8282
10,100,256,3,87.40642356918619,4146,8282
15,100,32,1,86.50084520647187,2768,8282
15,100,32,2,86.80270466070998,2768,8282
15,100,32,3,86.7181840135233,2768,8282
15,100,64,1,86.09031634870804,2768,8282
15,100,64,2,86.28350639942043,2768,8282
15,100,64,3,87.05626660226999,2768,8282
15,100,128,1,86.40425018111567,2768,8282
15,100,128,2,86.74233276986236,2768,8282
15,100,128,3,86.69403525718425,2768,8282
15,100,256,1,86.319729533929,2768,8282
15,100,256,2,85.7160106254528,2768,8282
15,100,256,3,86.29558077758995,2768,8282
3,150,32,1,87.62388503468782,13443,8072
3,150,32,2,86.33548067393458,13443,8072
3,150,32,3,87.52477700693757,13443,8072
3,150,64,1,87.36372646184341,13443,8072
3,150,64,2,86.62041625371656,13443,8072
3,150,64,3,88.11942517343905,13443,8072
3,150,128,1,86.64519326065411,13443,8072
3,150,128,2,87.40089197224975,13443,8072
3,150,128,3,87.06640237859267,13443,8072
3,150,256,1,87.07879088206144,13443,8072
3,150,256,2,87.37611496531218,13443,8072
3,150,256,3,87.77254707631319,13443,8072
5,150,32,1,87.92120911793856,8071,8072
5,150,32,2,86.99207135777998,8071,8072
5,150,32,3,87.20267591674926,8071,8072
5,150,64,1,87.46283448959366,8071,8072
5,150,64,2,86.99207135777998,8071,8072
5,150,64,3,87.21506442021804,8071,8072
5,150,128,1,87.57433102081269,8071,8072
5,150,128,2,86.76907829534193,8071,8072
5,150,128,3,88.19375619425173,8071,8072
5,150,256,1,87.31417244796829,8071,8072
5,150,256,2,86.9177403369673,8071,8072
5,150,256,3,87.3017839444995,8071,8072
10,150,32,1,87.32656095143706,4041,8072
10,150,32,2,88.81318136769079,4041,8072
10,150,32,3,87.9583746283449,4041,8072
10,150,64,1,87.22745292368681,4041,8072
10,150,64,2,87.62388503468782,4041,8072
10,150,64,3,86.90535183349851,4041,8072
10,150,128,1,87.15312190287413,4041,8072
10,150,128,2,87.27700693756194,4041,8072
10,150,128,3,87.90882061446978,4041,8072
10,150,256,1,87.25222993062438,4041,8072
10,150,256,2,87.52477700693757,4041,8072
10,150,256,3,87.94598612487611,4041,8072
15,150,32,1,87.09117938553022,2698,8072
15,150,32,2,87.73538156590683,2698,8072
15,150,32,3,87.17789890981169,2698,8072
15,150,64,1,87.0416253716551,2698,8072
15,150,64,2,87.33894945490584,2698,8072
15,150,64,3,86.74430128840436,2698,8072
15,150,128,1,87.32656095143706,2698,8072
15,150,128,2,87.20267591674926,2698,8072
15,150,128,3,88.20614469772052,2698,8072
15,150,256,1,87.36372646184341,2698,8072
15,150,256,2,87.32656095143706,2698,8072
15,150,256,3,87.05401387512389,2698,8072
3,200,32,1,85.47443398626304,13093,7862
3,200,32,2,86.04680742813534,13093,7862
3,200,32,3,86.44110913253625,13093,7862
3,200,64,1,85.93233273976088,13093,7862
3,200,64,2,86.49198677181379,13093,7862
3,200,64,3,85.81785805138641,13093,7862
3,200,128,1,85.24548460951412,13093,7862
3,200,128,2,85.91961332994148,13093,7862
3,200,128,3,86.7209361485627,13093,7862
3,200,256,1,85.39811752734673,13093,7862
3,200,256,2,86.21215975578733,13093,7862
3,200,256,3,86.79725260747901,13093,7862
5,200,32,1,85.20732638005596,7861,7862
5,200,32,2,86.03408801831596,7861,7862
5,200,32,3,86.58102264054948,7861,7862
5,200,64,1,86.22487916560672,7861,7862
5,200,64,2,85.48715339608242,7861,7862
5,200,64,3,86.39023149325871,7861,7862
5,200,128,1,86.27575680488425,7861,7862
5,200,128,2,86.3139150343424,7861,7862
5,200,128,3,85.94505214958026,7861,7862
5,200,256,1,85.32180106843043,7861,7862
5,200,256,2,86.59374205036886,7861,7862
5,200,256,3,85.5889086746375,7861,7862
10,200,32,1,86.12312388705165,3936,7862
10,200,32,2,85.8305774612058,3936,7862
10,200,32,3,86.18672093614856,3936,7862
10,200,64,1,86.18672093614856,3936,7862
10,200,64,2,86.0722462477741,3936,7862
10,200,64,3,85.69066395319257,3936,7862
10,200,128,1,85.95777155939965,3936,7862
10,200,128,2,85.86873569066395,3936,7862
10,200,128,3,85.6652251335538,3936,7862
10,200,256,1,84.95293818366828,3936,7862
10,200,256,2,86.2375985754261,3936,7862
10,200,256,3,86.21215975578733,3936,7862
15,200,32,1,85.7542610022895,2626,7862
15,200,32,2,86.44110913253625,2626,7862
15,200,32,3,86.6446196896464,2626,7862
15,200,64,1,86.54286441109133,2626,7862
15,200,64,2,86.14856270669041,2626,7862
15,200,64,3,85.9068939201221,2626,7862
15,200,128,1,85.88145510048334,2626,7862
15,200,128,2,86.30119562452302,2626,7862
15,200,128,3,86.53014500127195,2626,7862
15,200,256,1,85.3472398880692,2626,7862
15,200,256,2,85.98321037903841,2626,7862
15,200,256,3,85.62706690409566,2626,7862
